"loss" "model" "dataset" "filtering" "type"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.788819875776397 "model_bal_0" "PCOS" "10" "training"
0.788819875776397 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.772180047542366 "model_bal_1" "PCOS" "10" "training"
0.760677862127138 "model_bal_1" "PCOS" "10" "training"
0.782992101832682 "model_bal_1" "PCOS" "10" "training"
0.782992101832682 "model_bal_1" "PCOS" "10" "training"
0.772180047542366 "model_bal_1" "PCOS" "10" "training"
0.760677862127138 "model_bal_1" "PCOS" "10" "training"
0.788819875776397 "model_bal_1" "PCOS" "10" "training"
0.782992101832682 "model_bal_1" "PCOS" "10" "training"
0.772180047542366 "model_bal_1" "PCOS" "10" "training"
0.772180047542366 "model_bal_1" "PCOS" "10" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.72816501802009 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.630626485698949 "model_bal_1" "PCOS" "50" "training"
0.700329729315237 "model_bal_1" "PCOS" "50" "training"
0.700329729315237 "model_bal_1" "PCOS" "50" "training"
0.71658615136876 "model_bal_1" "PCOS" "50" "training"
0.703243616287095 "model_bal_1" "PCOS" "50" "training"
0.731999079825167 "model_bal_1" "PCOS" "50" "training"
0.709684840119623 "model_bal_1" "PCOS" "50" "training"
0.71658615136876 "model_bal_1" "PCOS" "50" "training"
0.700329729315237 "model_bal_1" "PCOS" "50" "training"
0.700329729315237 "model_bal_1" "PCOS" "50" "training"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.562137049941928 "pred_bal_0_lr1" "PCOS" "10" "test"
0.562137049941928 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.583042973286876 "pred_bal_0" "PCOS" "10" "test"
0.556329849012776 "pred_bal_0" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0" "PCOS" "10" "test"
0.493612078977933 "pred_bal_0" "PCOS" "10" "test"
0.551684088269454 "pred_bal_0" "PCOS" "10" "test"
0.580720092915215 "pred_bal_0" "PCOS" "10" "test"
0.423925667828107 "pred_bal_0" "PCOS" "10" "test"
0.538908246225319 "pred_bal_0" "PCOS" "10" "test"
0.535423925667828 "pred_bal_0" "PCOS" "10" "test"
0.591173054587689 "pred_bal_0" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "10" "test"
0.56678281068525 "pred_bal_1_lr1" "PCOS" "10" "test"
0.555168408826945 "pred_bal_1_lr1" "PCOS" "10" "test"
0.555168408826945 "pred_bal_1_lr1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "10" "test"
0.56678281068525 "pred_bal_1_lr1" "PCOS" "10" "test"
0.562137049941928 "pred_bal_1_lr1" "PCOS" "10" "test"
0.555168408826945 "pred_bal_1_lr1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "10" "test"
0.537746806039489 "pred_bal_1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1" "PCOS" "10" "test"
0.555168408826945 "pred_bal_1" "PCOS" "10" "test"
0.555168408826945 "pred_bal_1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1" "PCOS" "10" "test"
0.563298490127758 "pred_bal_1" "PCOS" "10" "test"
0.562137049941928 "pred_bal_1" "PCOS" "10" "test"
0.555168408826945 "pred_bal_1" "PCOS" "10" "test"
0.552845528455285 "pred_bal_1" "PCOS" "10" "test"
0.549361207897793 "pred_bal_1" "PCOS" "10" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.508710801393728 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.464576074332172 "pred_bal_0" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0" "PCOS" "50" "test"
0.498257839721254 "pred_bal_0" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0" "PCOS" "50" "test"
0.490127758420441 "pred_bal_0" "PCOS" "50" "test"
0.498257839721254 "pred_bal_0" "PCOS" "50" "test"
0.505226480836237 "pred_bal_0" "PCOS" "50" "test"
0.495934959349593 "pred_bal_0" "PCOS" "50" "test"
0.48780487804878 "pred_bal_0" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0" "PCOS" "50" "test"
0.518002322880372 "pred_bal_1_lr1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "50" "test"
0.494773519163763 "pred_bal_1_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_1_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_1_lr1" "PCOS" "50" "test"
0.505226480836237 "pred_bal_1_lr1" "PCOS" "50" "test"
0.494773519163763 "pred_bal_1_lr1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "50" "test"
0.461091753774681 "pred_bal_1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1" "PCOS" "50" "test"
0.494773519163763 "pred_bal_1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_1" "PCOS" "50" "test"
0.505226480836237 "pred_bal_1" "PCOS" "50" "test"
0.494773519163763 "pred_bal_1" "PCOS" "50" "test"
